row col value
1 7613-A10 7613-A1 1259
2 7613-A11 7613-A1 1349
3 7613-A12 7613-A1 1288
4 7613-A2 7613-A1 1342
5 7613-A3 7613-A1 1306
6 7613-A4 7613-A1 1331
7 7613-A5 7613-A1 1190
8 7613-A6 7613-A1 1281
9 7613-A7 7613-A1 1255
10 7613-A8 7613-A1 1479
11 7613-A9 7613-A1 1349
12 7613-B1 7613-A1 1226
13 7613-B10 7613-A1 1324
14 7613-B11 7613-A1 1341
15 7613-B12 7613-A1 4271
16 7613-B2 7613-A1 1285
17 7613-B3 7613-A1 1416
18 7613-B4 7613-A1 1233
19 7613-B5 7613-A1 1184
20 7613-B6 7613-A1 1253
21 7613-B7 7613-A1 1297
22 7613-B8 7613-A1 1331
23 7613-B9 7613-A1 1310
24 7613-C1 7613-A1 1339
25 7613-C10 7613-A1 2516
26 7613-C11 7613-A1 1295
27 7613-C12 7613-A1 1315
28 7613-C2 7613-A1 1291
29 7613-C3 7613-A1 1499
30 7613-C4 7613-A1 1250
31 7613-C5 7613-A1 1219
32 7613-C6 7613-A1 1232
33 7613-C7 7613-A1 1346
34 7613-C8 7613-A1 1338
35 7613-C9 7613-A1 1309
36 7613-D1 7613-A1 1217
37 7613-D10 7613-A1 1356
38 7613-D11 7613-A1 1398
39 7613-D12 7613-A1 1220
40 7613-D2 7613-A1 1624
41 7613-D3 7613-A1 3538
42 7613-D4 7613-A1 1194
43 7613-D5 7613-A1 1317
44 7613-D6 7613-A1 1302
45 7613-D7 7613-A1 1296
46 7613-D9 7613-A1 1214
47 7613-E1 7613-A1 1348
48 7613-E10 7613-A1 1349
49 7613-E11 7613-A1 1245
50 7613-E12 7613-A1 1331
51 7613-E2 7613-A1 1296
52 7613-E3 7613-A1 1269
53 7613-E4 7613-A1 1198
54 7613-E5 7613-A1 1276
55 7613-E6 7613-A1 1207
56 7613-E7 7613-A1 1212
57 7613-E8 7613-A1 1294
58 7613-E9 7613-A1 1202
59 7613-F1 7613-A1 1391
60 7613-F10 7613-A1 1333
61 7613-F11 7613-A1 1316
62 7613-F12 7613-A1 1215
63 7613-F2 7613-A1 1327
64 7613-F3 7613-A1 1394
65 7613-F4 7613-A1 1276
66 7613-F5 7613-A1 1240
67 7613-F6 7613-A1 1207
68 7613-F7 7613-A1 1386
69 7613-F8 7613-A1 1327
70 7613-F9 7613-A1 1168
71 7613-G1 7613-A1 1150
72 7613-G10 7613-A1 1467
73 7613-G11 7613-A1 1280
74 7613-G12 7613-A1 1362
75 7613-G2 7613-A1 1182
76 7613-G3 7613-A1 1414
77 7613-G4 7613-A1 1295
78 7613-G5 7613-A1 1210
79 7613-G6 7613-A1 1268
80 7613-G7 7613-A1 1237
81 7613-G8 7613-A1 1373
82 7613-G9 7613-A1 1271
83 7613-H1 7613-A1 1403
84 7613-H10 7613-A1 1207
85 7613-H11 7613-A1 1277
86 7613-H12 7613-A1 1381
87 7613-H2 7613-A1 1224
88 7613-H3 7613-A1 1502
89 7613-H4 7613-A1 1291
90 7613-H5 7613-A1 1224
91 7613-H6 7613-A1 1296
92 7613-H7 7613-A1 2270
93 7613-H8 7613-A1 1325
94 7613-H9 7613-A1 1249
95 7881-A10 7613-A1 4641
96 7881-A11 7613-A1 1357
97 7881-A4 7613-A1 1386
98 7881-A5 7613-A1 1345
99 7881-A6 7613-A1 1264
100 7881-A8 7613-A1 1263
101 7881-A9 7613-A1 1160
102 7881-B10 7613-A1 1239
103 7881-B11 7613-A1 1197
104 7881-B4 7613-A1 1292
105 7881-B5 7613-A1 1298
106 7881-B6 7613-A1 1376
107 7881-B7 7613-A1 1324
108 7881-B8 7613-A1 1274
109 7881-B9 7613-A1 1143
110 7881-C10 7613-A1 1330
111 7881-C11 7613-A1 1315
112 7881-C4 7613-A1 1595
113 7881-C5 7613-A1 3591
114 7881-C6 7613-A1 1264
115 7881-C7 7613-A1 1572
116 7881-C8 7613-A1 1294
117 7881-C9 7613-A1 1219
118 7881-D10 7613-A1 3948
119 7881-D11 7613-A1 1307
120 7881-D4 7613-A1 1235
121 7881-D5 7613-A1 1234
122 7881-D6 7613-A1 1510
123 7881-D7 7613-A1 1408
124 7881-D8 7613-A1 1291
125 7881-D9 7613-A1 1185
126 7881-E10 7613-A1 1207
127 7881-E11 7613-A1 1305
128 7881-E4 7613-A1 1191
129 7881-E5 7613-A1 1447
130 7881-E6 7613-A1 1287
131 7881-E7 7613-A1 1447
132 7881-E8 7613-A1 1389
133 7881-E9 7613-A1 1217
134 7881-F10 7613-A1 1485
135 7881-F11 7613-A1 1365
136 7881-F4 7613-A1 1272
