row col value
1 7612-A10 7612-A1 921
2 7612-A12 7612-A1 859
3 7612-A2 7612-A1 1644
4 7612-A3 7612-A1 5459
5 7612-A4 7612-A1 878
6 7612-A5 7612-A1 5106
7 7612-A6 7612-A1 809
8 7612-A7 7612-A1 871
9 7612-A8 7612-A1 747
10 7612-A9 7612-A1 780
11 7612-B1 7612-A1 4102
12 7612-B10 7612-A1 771
13 7612-B11 7612-A1 8591
14 7612-B12 7612-A1 810
15 7612-B2 7612-A1 787
16 7612-B3 7612-A1 775
17 7612-B4 7612-A1 784
18 7612-B5 7612-A1 822
19 7612-B6 7612-A1 959
20 7612-B7 7612-A1 1793
21 7612-B8 7612-A1 780
22 7612-B9 7612-A1 5131
23 7612-C1 7612-A1 4089
24 7612-C10 7612-A1 8751
25 7612-C11 7612-A1 4094
26 7612-C12 7612-A1 818
27 7612-C2 7612-A1 835
28 7612-C3 7612-A1 773
29 7612-C4 7612-A1 813
30 7612-C5 7612-A1 722
31 7612-C6 7612-A1 770
32 7612-C7 7612-A1 691
33 7612-C8 7612-A1 5018
34 7612-C9 7612-A1 746
35 7612-D10 7612-A1 7691
36 7612-D11 7612-A1 9351
37 7612-D12 7612-A1 4208
38 7612-D2 7612-A1 8454
39 7612-D3 7612-A1 814
40 7612-D4 7612-A1 799
41 7612-D5 7612-A1 4204
42 7612-D6 7612-A1 796
43 7612-D7 7612-A1 8453
44 7612-D8 7612-A1 774
45 7612-D9 7612-A1 738
46 7612-E11 7612-A1 4989
47 7612-E12 7612-A1 818
48 7612-E2 7612-A1 773
49 7612-E3 7612-A1 771
50 7612-E4 7612-A1 813
51 7612-E5 7612-A1 831
52 7612-E6 7612-A1 744
53 7612-E7 7612-A1 778
54 7612-E8 7612-A1 4203
55 7612-E9 7612-A1 871
56 7612-F1 7612-A1 811
57 7612-F10 7612-A1 8350
58 7612-F11 7612-A1 24260
59 7612-F12 7612-A1 4246
60 7612-F2 7612-A1 1010
61 7612-F3 7612-A1 755
62 7612-F4 7612-A1 871
63 7612-F5 7612-A1 4930
64 7612-F6 7612-A1 710
65 7612-F7 7612-A1 792
66 7612-F8 7612-A1 4316
67 7612-F9 7612-A1 716
68 7612-G1 7612-A1 788
69 7612-G10 7612-A1 827
70 7612-G11 7612-A1 8454
71 7612-G12 7612-A1 790
72 7612-G2 7612-A1 879
73 7612-G3 7612-A1 12575
74 7612-G4 7612-A1 5109
75 7612-G5 7612-A1 4227
76 7612-G6 7612-A1 6019
77 7612-G8 7612-A1 1398
78 7612-G9 7612-A1 796
79 7612-H1 7612-A1 742
80 7612-H10 7612-A1 5638
81 7612-H11 7612-A1 10769
82 7612-H12 7612-A1 711
83 7612-H2 7612-A1 827
84 7612-H3 7612-A1 3100
85 7612-H4 7612-A1 8434
86 7612-H5 7612-A1 846
87 7612-H6 7612-A1 3075
88 7612-H7 7612-A1 801
89 7612-H8 7612-A1 6695
90 7612-H9 7612-A1 865
91 7881-A1 7612-A1 8193
92 7881-A12 7612-A1 12248
93 7881-A2 7612-A1 925
94 7881-A3 7612-A1 862
95 7881-B12 7612-A1 10533
96 7881-B2 7612-A1 942
97 7881-B3 7612-A1 6407
98 7881-C1 7612-A1 993
99 7881-C12 7612-A1 969
100 7881-C2 7612-A1 813
101 7881-C3 7612-A1 5034
102 7881-D1 7612-A1 10345
103 7881-D12 7612-A1 27045
104 7881-D2 7612-A1 7682
105 7881-D3 7612-A1 5127
106 7881-E1 7612-A1 4228
107 7881-E3 7612-A1 5186
108 7881-F1 7612-A1 5428
109 7881-F12 7612-A1 10922
110 7881-F2 7612-A1 4162
111 7881-F3 7612-A1 895
112 7881-G1 7612-A1 13372
113 7881-G12 7612-A1 8564
114 7881-G2 7612-A1 5075
115 7881-G3 7612-A1 904
116 7881-H1 7612-A1 4280
117 7881-H11 7612-A1 19343
118 7881-H12 7612-A1 7424
119 7881-H2 7612-A1 4308
120 7885-B1 7612-A1 2783
121 7885-C1 7612-A1 8536
122 7885-D1 7612-A1 20569
123 7885-E1 7612-A1 8490
124 7885-F1 7612-A1 6918
125 7885-G1 7612-A1 909
126 7885-H1 7612-A1 5055
127 Pr1556Aug2017 7612-A1 836
128 Pr1556Jul2017 7612-A1 1183
129 Pr1556Jun2015 7612-A1 1031
130 7612-A12 7612-A10 788
131 7612-A2 7612-A10 1495
132 7612-A3 7612-A10 5480
133 7612-A4 7612-A10 793
134 7612-A5 7612-A10 5183
135 7612-A6 7612-A10 758
136 7612-A7 7612-A10 808
137 7612-A8 7612-A10 760
138 7612-A9 7612-A10 737
139 7612-B1 7612-A10 4179
140 7612-B10 7612-A10 808
141 7612-B11 7612-A10 8614
142 7612-B12 7612-A10 811
143 7612-B2 7612-A10 826
144 7612-B3 7612-A10 890
145 7612-B4 7612-A10 847
146 7612-B5 7612-A10 757
147 7612-B6 7612-A10 794
148 7612-B7 7612-A10 1664
149 7612-B8 7612-A10 727
150 7612-B9 7612-A10 5192
151 7612-C1 7612-A10 4122
152 7612-C10 7612-A10 8636
153 7612-C11 7612-A10 4213
154 7612-C12 7612-A10 823
155 7612-C2 7612-A10 712
156 7612-C3 7612-A10 758
157 7612-C4 7612-A10 824
158 7612-C5 7612-A10 879
159 7612-C6 7612-A10 735
160 7612-C7 7612-A10 744
161 7612-C8 7612-A10 5031
